"","HEXID","date","NDaysAbove5ms"
"64382","CT12","jun_2010",14
"76190","CT12","jun_2011",7
"88982","CT12","jun_2012",15
"102758","CT12","jun_2013",13
"117518","CT12","jun_2014",6
"133262","CT12","jun_2015",7
"149990","CT12","jun_2016",9
"167702","CT12","jun_2017",10
"186398","CT12","jun_2018",12
"176","CT12","mar_2000",17
"2144","CT12","mar_2001",12
"5096","CT12","mar_2002",10
"9032","CT12","mar_2003",18
"13952","CT12","mar_2004",10
"19856","CT12","mar_2005",9
"26744","CT12","mar_2006",15
"34616","CT12","mar_2007",10
"43472","CT12","mar_2008",18
"53312","CT12","mar_2009",17
"64136","CT12","mar_2010",8
"75944","CT12","mar_2011",15
"88736","CT12","mar_2012",9
"102512","CT12","mar_2013",8
"117272","CT12","mar_2014",9
"133016","CT12","mar_2015",7
"149744","CT12","mar_2016",14
"167456","CT12","mar_2017",12
"186152","CT12","mar_2018",10
"340","CT12","may_2000",21
"2308","CT12","may_2001",6
"5260","CT12","may_2002",16
"9196","CT12","may_2003",15
"14116","CT12","may_2004",19
"20020","CT12","may_2005",13
"26908","CT12","may_2006",15
"34780","CT12","may_2007",14
"43636","CT12","may_2008",11
"53476","CT12","may_2009",11
"64300","CT12","may_2010",19
"76108","CT12","may_2011",20
"88900","CT12","may_2012",17
"102676","CT12","may_2013",20
"117436","CT12","may_2014",16
"133180","CT12","may_2015",8
"149908","CT12","may_2016",10
"167620","CT12","may_2017",11
"186316","CT12","may_2018",12
"832","CT12","nov_2000",8
"2800","CT12","nov_2001",6
"5752","CT12","nov_2002",7
"9688","CT12","nov_2003",8
"14608","CT12","nov_2004",8
