"","HEXID","year","population"
"979","CT9",2006,4808.69547094521
"980","FR1",2006,456.240471661873
"981","FR10",2006,1532.63324613241
"982","FR11",2006,1997.5997014922
"983","FR12",2006,133920.105652387
"984","FR13",2006,172653.449373463
"985","FR14",2006,12309.4374694906
"986","FR15",2006,84032.2401403936
"987","FR16",2006,22732.1959861676
"988","FR17",2006,10258.3864399769
"989","FR18",2006,780.854946388097
"990","FR19",2006,11594.365147453
"991","FR2",2006,338.47533420111
"992","FR20",2006,289.33550242213
"993","FR21",2006,11267.2828652368
"994","FR22",2006,2199.38173450485
"995","FR23",2006,252.757875189493
"996","FR24",2006,5.32920706689723
"997","FR25",2006,1705.90070127732
"998","FR26",2006,61.3167050946351
"999","FR27",2006,71716.413805778
"1000","FR28",2006,31550.813828463
"1001","FR29",2006,6220.80563472184
"1002","FR3",2006,51040.0146723717
"1003","FR30",2006,24743.342211375
"1004","FR31",2006,120909.538981422
"1005","FR32",2006,32802.3956140111
"1006","FR33",2006,132657.205140277
"1007","FR34",2006,2741.57501722677
"1008","FR35",2006,240.803469037153
"1009","FR36",2006,652.551387756294
"1010","FR37",2006,1052.11287033854
"1011","FR38",2006,59198.0170109286
"1012","FR39",2006,127.505566645686
"1013","FR4",2006,30859.8440152953
"1014","FR40",2006,13417.9927317648
"1015","FR41",2006,5042.26209385746
"1016","FR42",2006,369.390570208795
"1017","FR43",2006,8073.42662466223
"1018","FR44",2006,4062.48220689235
"1019","FR45",2006,399.614927674632
"1020","FR46",2006,84350.7175065824
"1021","FR47",2006,1371.10532420528
"1022","FR48",2006,210.041064260969
"1023","FR49",2006,32584.108585087
"1024","FR5",2006,32437.4350400896
"1025","FR50",2006,36045.3730910249
"1026","FR51",2006,86663.4529532166
"1027","FR52",2006,101.894843931591
"1028","FR53",2006,14786.7968027118
"1029","FR54",2006,88321.4088512799
"1030","FR55",2006,12603.8835724958
"1031","FR56",2006,76374.2876485356
"1032","FR57",2006,13546.6638189776
"1033","FR58",2006,3085.69168961405
"1034","FR59",2006,80.653987244853
"1035","FR6",2006,332.337997320364
"1036","FR60",2006,17932.9322206734
"1037","FR61",2006,274.589050424668
"1038","FR62",2006,337.244925688809
"1039","FR63",2006,808.336444822377
"1040","FR64",2006,13570.8656092681
"1041","FR65",2006,33407.1383541691
"1042","FR66",2006,23.4976376435027
"1043","FR67",2006,32168.7055996808
"1044","FR68",2006,47890.0630723084
"1045","FR69",2006,389.75069199122
"1046","FR7",2006,110845.720944392
"1047","FR70",2006,207.49909920399
"1048","FR71",2006,2068.99343747856
"1049","FR72",2006,30896.6334859765
"1050","FR73",2006,826.628163409531
"1051","FR74",2006,4120.43140666968
"1052","FR75",2006,6479.75834869757
"1053","FR76",2006,1894.68949569261
"1054","FR77",2006,659.055585568334
"1055","FR78",2006,33785.9891355581
"1056","FR79",2006,7498.55021648494
"1057","FR8",2006,385.489400696437
"1058","FR80",2006,23543.0536744381
"1059","FR81",2006,6304.83982087024
"1060","FR82",2006,74656.453039132
"1061","FR83",2006,6836.370885625
"1062","FR84",2006,4904.16623615235
"1063","FR85",2006,212.975402950609
"1064","FR86",2006,9156.23228275507
"1065","FR87",2006,82.2699886894106
"1066","FR88",2006,2238.37603221014
"1067","FR89",2006,2905.2525782129
"1068","FR9",2006,54.256592005444
"1069","FR90",2006,2865.96733212697
"1070","FR91",2006,51280.7979163853
"1071","FR92",2006,12991.2193228662
"1072","CT1",2007,81745.7633615283
"1073","CT10",2007,32240.437544552
"1074","CT11",2007,34339.2243632022
"1075","CT12",2007,3292.47494603304
"1076","CT13",2007,127254.603766299
"1077","CT14",2007,2119.25976809244
"1078","CT15",2007,794.423502330907
"1079","CT16",2007,136460.817799768
