"","omitted","month","ATT","CI.lower","CI.upper"
"460","FR32",-12,0.205641152017229,-0.330304957039677,0.741587261074135
"461","FR25",-12,0.208865519720269,-0.325828314709972,0.74355935415051
"462","FR47",-12,0.214805594426913,-0.33468274224593,0.764293931099755
"463","FR18",-12,0.208792269766088,-0.326428314977537,0.744012854509712
"464","FR40",-12,0.197166260190358,-0.3693308027536,0.763663323134316
"465","FR41",-12,0.21518822670184,-0.322037929003088,0.752414382406768
"466","FR21",-12,0.264129137909291,-0.286725725570312,0.814984001388894
"467","FR29",-12,0.107605831009409,-0.445396901774477,0.660608563793296
"468","FR76",-12,0.217325759077596,-0.33161952477665,0.766271042931842
"469","FR38",-12,0.218672502494758,-0.321052459868546,0.758397464858062
"470","FR89",-12,0.21613576447638,-0.329888017593851,0.762159546546611
"471","FR23",-12,0.207365128897708,-0.329927577924223,0.74465783571964
"472","FR7",-12,0.204256907315289,-0.351089900148565,0.759603714779144
"473","FR13",-12,0.16641933362252,-0.407988296885312,0.740826964130352
"474","FR91",-12,0.250608390543342,-0.303040690132286,0.80425747121897
"475","FR92",-12,0.17867377995076,-0.365660392276989,0.72300795217851
"476","FR81",-11,0.0188885584988767,-0.467413741421372,0.505190858419126
"477","FR5",-11,-0.0240163942370446,-0.507654568652541,0.459621780178452
"478","FR77",-11,0.00542218818374346,-0.482263915708422,0.493108292075909
"479","FR32",-11,-0.0168594741176664,-0.491798211849004,0.458079263613672
"480","FR25",-11,-0.000498267734065059,-0.474299626751111,0.473303091282981
"481","FR47",-11,0.0165202912596264,-0.464100299963178,0.497140882482431
"482","FR18",-11,0.00449081268503689,-0.469570037197267,0.478551662567341
"483","FR40",-11,-0.00056754356195259,-0.483016668991674,0.481881581867769
"484","FR41",-11,0.0078083001451934,-0.467330463462824,0.482947063753211
"485","FR21",-11,0.0187672238983165,-0.486917215149797,0.52445166294643
"486","FR29",-11,0.00125972068278291,-0.49222753539519,0.494746976760756
"487","FR76",-11,0.00746843954028959,-0.472309214802074,0.487246093882654
"488","FR38",-11,-0.0214141874680046,-0.503164189959281,0.460335815023272
"489","FR89",-11,0.00421548096727438,-0.480975695656519,0.489406657591068
"490","FR23",-11,-0.00807413942567896,-0.515406293803971,0.499258014952614
"491","FR7",-11,-0.0918442034347765,-0.576748346105991,0.393059939236438
"492","FR13",-11,0.0511718268480123,-0.433895360496272,0.536239014192297
"493","FR91",-11,0.0527904865937941,-0.459086520367051,0.564667493554639
"494","FR92",-11,0.0459264628566712,-0.438624859897519,0.530477785610862
"495","FR81",-10,-0.266739893367921,-0.788308182796742,0.2548283960609
"496","FR5",-10,-0.246460089744999,-0.763780355315927,0.27086017582593
"497","FR77",-10,-0.20547673636853,-0.730120561655296,0.319167088918236
"498","FR32",-10,-0.214796599492905,-0.7248415892022,0.295248390216391
"499","FR25",-10,-0.210827154432488,-0.721122657238479,0.299468348373503
"500","FR47",-10,-0.235269977091187,-0.751105022145126,0.280565067962752
"501","FR18",-10,-0.216221315764085,-0.725820852990132,0.293378221461961
"502","FR40",-10,-0.202053571276163,-0.717206596649398,0.313099454097073
"503","FR41",-10,-0.218094113203283,-0.72804645727576,0.291858230869194
"504","FR21",-10,-0.205259995563311,-0.740641332615849,0.330121341489226
"505","FR29",-10,-0.221794974858199,-0.740775988672961,0.297186038956563
"506","FR76",-10,-0.20955630806492,-0.724967822321606,0.305855206191766
"507","FR38",-10,-0.232541287079647,-0.746484279021766,0.281401704862471
"508","FR89",-10,-0.222930115069968,-0.756339175925947,0.310478945786011
"509","FR23",-10,-0.222778872748299,-0.746996841953938,0.30143909645734
"510","FR7",-10,-0.154728697714801,-0.676281823522437,0.366824428092834
"511","FR13",-10,-0.192654797609205,-0.715209897153076,0.329900301934666
"512","FR91",-10,-0.1943014723596,-0.775887371070189,0.387284426350989
"513","FR92",-10,-0.141847710165563,-0.678653187468079,0.394957767136953
"514","FR81",-9,0.0283516650603853,-0.49088715905137,0.54759048917214
"515","FR5",-9,-0.0625375982773355,-0.578523584097577,0.453448387542906
"516","FR77",-9,-0.00177725835665745,-0.55014896864903,0.546594451935715
"517","FR32",-9,0.0211533649627728,-0.483430033789064,0.52573676371461
"518","FR25",-9,0.0145044538545962,-0.488019807167862,0.517028714877055
"519","FR47",-9,0.0438395989928432,-0.46849609637701,0.556175294362697
"520","FR18",-9,0.0155231696308309,-0.488107208406851,0.519153547668513
"521","FR40",-9,0.0227545757996271,-0.484587272555621,0.530096424154875
"522","FR41",-9,0.0307625076943967,-0.478079030412908,0.539604045801702
"523","FR21",-9,0.0605042867475304,-0.457085155055291,0.578093728550352
"524","FR29",-9,0.0315441145416854,-0.487858609558056,0.550946838641426
"525","FR76",-9,0.0136795001873131,-0.498462014938025,0.525821015312651
"526","FR38",-9,0.020572531938179,-0.491597160574277,0.532742224450635
"527","FR89",-9,0.034438992481698,-0.482608999376409,0.551486984339805
"528","FR23",-9,0.0151049259059753,-0.511164730303871,0.541374582115822
"529","FR7",-9,-0.0645101012720689,-0.574317275510738,0.4452970729666
"530","FR13",-9,0.0640518036973269,-0.449631938032838,0.577735545427492
"531","FR91",-9,0.0441039390650008,-0.475163075884848,0.563370954014849
"532","FR92",-9,-0.0193338230977559,-0.549003919816005,0.510336273620493
"533","FR81",-8,0.106898868425969,-0.412530499079221,0.626328235931159
"534","FR5",-8,0.0675640893710525,-0.451198467336425,0.58632664607853
"535","FR77",-8,0.094599111335108,-0.440258751300781,0.629456973970997
"536","FR32",-8,0.0506953100082988,-0.458683478439171,0.560074098455769
"537","FR25",-8,0.0748055754556732,-0.431044703245372,0.580655854156718
"538","FR47",-8,0.088343195668966,-0.437922926472895,0.614609317810827
"539","FR18",-8,0.0789639823594053,-0.426969317730672,0.584897282449483
"540","FR40",-8,0.100991552866723,-0.411858588599392,0.613841694332838
"541","FR41",-8,0.0836266614652705,-0.425485452139001,0.592738775069542
"542","FR21",-8,0.109915892242239,-0.410308502251724,0.630140286736202
"543","FR29",-8,0.0786473149199889,-0.444909166914789,0.602203796754767
